id,area,title,venue,official_or_author_url,pdf_or_fulltext_url,reading_scope,project_use,limitations,code_url,local_pdf_downloaded_this_delivery
P01,任务与调度,Heterogeneous Multi-robot Task Allocation for Long-Endurance Missions in Dynamic Scenarios,IEEE T-RO 2025；arXiv v3 2025-11-26,https://arxiv.org/abs/2411.02062v3,https://arxiv.org/pdf/2411.02062v3,开放正文，核对问题定义、启发式和执行修复章节,保留 Calvo 受限移植为调度基础；时序、成员能力与执行反馈,原文明确无一般前置关系和开始时间窗口；任务 relay 是接替，不是通信中继；扩展版不冒充完整原始实现,https://github.com/multirobot-use/mrta_heuristic_planner,no
P02,任务与运动,"GRSTAPS: Graphically Recursive Simultaneous Task Allocation, Planning, and Scheduling",IJRR 2022；DOI 10.1177/02783649211052066,https://journals.sagepub.com/doi/10.1177/02783649211052066,https://journals.sagepub.com/doi/full/10.1177/02783649211052066,期刊 HTML 正文，重点核对调度、运动查询及局限；未保存本地 PDF,在调度内交换运动可行性与耗时，使用有限查询和缓存,原实现二维运动，未解决机器人间运动碰撞；引用不赋予本项目连续安全保证,https://github.com/GT-STAR-Lab/GRSTAPS,no
P03,任务修复,"D-ITAGS: A Dynamic Interleaved Approach to Resilient Task Allocation, Scheduling, and Motion Planning",IEEE RA-L 2023；arXiv 初版 2022,https://arxiv.org/abs/2209.13092,https://arxiv.org/pdf/2209.13092,开放 PDF 正文相关章节,能力、时序、互斥和局部修复对照,不要求替换当前 Calvo；原工程的求解器与许可依赖不能忽略,https://github.com/GT-STAR-Lab/D-ITAGS,no
P04,执行释放,APEX-MR: Multi-Robot Asynchronous Planning and Execution for Cooperative Assembly,RSS 2025,https://arxiv.org/abs/2503.15836v2,https://arxiv.org/pdf/2503.15836v2,开放正文，重点异步执行图与释放条件,实际前驱完成后释放动作，允许无依赖动作并行,装配与多机器人执行图的安全/无死锁性质有其构造假设，不能自动转移给任意任务图,,no
P05,统一任务运动表达,Hierarchical Temporal Logic Task and Motion Planning for Multi-Robot Systems,RSS 2025；DOI 10.15607/RSS.2025.XXI.099,https://www.roboticsproceedings.org/rss21/p099.html,https://arxiv.org/pdf/2504.18899v2,官方会议页与 arXiv 正文相关章节,复杂任务与连续可行域的形式化参考,当前有限场景不需要再串接一套 HLTL/GCS 求解器,https://github.com/intelligent-control-lab/Task_Motion_Planning_with_HLTL_and_GCS,no
P06,异构任务调度,Heterogeneous Multi-robot Task Allocation and Scheduling via Reinforcement Learning,IEEE RA-L 2025，10:2654–2661,https://www.marmotlab.org/publications/73-RAL2025-HetMRTA.pdf,https://www.marmotlab.org/publications/73-RAL2025-HetMRTA.pdf,作者公开 PDF，核对任务、联合到齐、等待和实验定义,多能力资源到齐、等待时间与 makespan 对照,不为新颖性改用 RL；二维移动代价不能直接用于水下/跨介质,,no
P07,分布式任务规划,A Decentralised Strategy for Heterogeneous AUV Missions via Goal Distribution and Temporal Planning (DHRTA),ICAPS 2020；DOI 10.1609/icaps.v30i1.6738,https://ojs.aaai.org/index.php/ICAPS/article/view/6738,https://ojs.aaai.org/index.php/ICAPS/article/view/6738/6592,本轮仅官方条目与摘要；PDF 直取未成功,如有效任务书要求分布式任务分配，作为针对性补充,不是当前中心化调度已满足分布式验收的证据,,no
P08,编队规划,Distributed Swarm Trajectory Optimization for Formation Flight in Dense Environments,ICRA 2022,https://arxiv.org/abs/2109.07682v2,https://arxiv.org/pdf/2109.07682v2,开放正文相关章节与当前上游代码核对,AAV AIR 单机/编队后端，原生图相似度与邻机轨迹协调,编队项为优化代价，不等于业务必要性、固定朝向或实际安全证明,https://github.com/ZJU-FAST-Lab/Swarm-Formation,no
P09,编队规划扩展,Robust and Efficient Trajectory Planning for Formation Flight in Dense Environments,IEEE T-RO 2023，39(6):4785–4804；DOI 10.1109/TRO.2023.3301295,https://arxiv.org/abs/2210.04048v2,https://arxiv.org/pdf/2210.04048v2,开放正文，核对编队对齐、分配/重组及轨迹层,理论与当前源码覆盖边界,论文全部后续机制不能自动称为当前快照已接入；不当作水下控制器,https://github.com/ZJU-FAST-Lab/Swarm-Formation,no
P10,连续轨迹,Geometrically Constrained Trajectory Optimization for Multicopters,IEEE T-RO 2022；MINCO/GCOPTER 相关,https://arxiv.org/abs/2103.00190v4,https://arxiv.org/pdf/2103.00190v4,本轮核对官方元数据与摘要；已有库列有全文笔记,理解现有轨迹参数化，不新增串行规划层,不是任务调度器，也不证明 qn 跟踪误差界,https://github.com/ZJU-FAST-Lab/GCOPTER,no
P11,编队重排,CAT-ORA: Collision-Aware Time-Optimal Formation Reshaping for Efficient Robot Coordination in 3-D Environments,IEEE T-RO 2025；DOI 10.1109/TRO.2025.3547296,https://arxiv.org/abs/2412.00603v2,https://arxiv.org/pdf/2412.00603v2,本轮官方摘要/元数据；未全文精读,后续确有重排瓶颈时的对照,不等同通用多障碍导航；当前不接第二编队后端,https://github.com/ctu-mrs/catora,no
P12,任务与通信,CoCoPlan: Adaptive Coordination and Communication for Multi-Robot Systems in Dynamic and Unknown Environments,IEEE RA-L 2026，11(3):3270–3277；DOI 10.1109/LRA.2026.3656769,https://arxiv.org/abs/2601.10116v1,https://arxiv.org/pdf/2601.10116v1,开放正文，核对任务/通信事件、约束与假设,任务与通信机会共同安排，非全时连接,恢复连通不等于任意数据已传完；原运动模型不是跨介质动力学；不宣称该思想首创,,no
P13,中继与数据调度,Multi-Robot Data Gathering Under Buffer Constraints and Intermittent Communication,IEEE T-RO 2018，34(4):1082–1097；DOI 10.1109/TRO.2018.2830370,https://scholars.duke.edu/publication/1322925,https://arxiv.org/pdf/1706.02092,开放正文，核对有限缓存、源/中继、通信和规划算法,UUV/USV 数据产生—缓存—交付与会合调度的先例,已有方法不能包装成新创新；原二维/简化碰撞及上传假设须区分,,no
P14,通信质量暴露,ACHORD: Communication-Aware Multi-Robot Coordination With Intermittent Connectivity,IEEE RA-L 2022；arXiv:2206.02245,https://arxiv.org/abs/2206.02245,https://arxiv.org/pdf/2206.02245,开放正文相关通信/系统章节,通信质量影响上层决策，消息优先级与网络监测参考,不应为五平台场景复制完整网络中间件,,no
P15,轨迹通信安全,Robust MADER: Decentralized Multiagent Trajectory Planner Robust to Communication Delay in Dynamic Environments,IEEE RA-L 2024，9(2):1476–1483；DOI 10.1109/LRA.2023.3342561,https://arxiv.org/abs/2303.06222,https://arxiv.org/pdf/2303.06222,开放正文，核对提交轨迹与延迟检查假设,已发布/已提交/实际采用轨迹的区别,已知延迟上界及消息假设，不覆盖任意长期丢包；不直接替换 Swarm,https://github.com/mit-acl/rmader,no
P16,规划跟踪安全,FaSTrack: a Modular Framework for Fast and Guaranteed Safe Motion Planning,CDC 2017,https://arxiv.org/abs/1703.07373,https://arxiv.org/pdf/1703.07373,开放正文，核对相对动力学、误差界与安全控制条件,以经过验证的跟踪误差界反推规划安全余量,实测最大误差不是 HJ 不变界；现有 qn PD/RBF 不能自动继承保证,,no
P17,跨介质轨迹,Trajectory Planning for Hybrid Unmanned Aerial Underwater Vehicles with Smooth Media Transition,Journal of Intelligent & Robotic Systems 2021,https://arxiv.org/abs/2112.13819v1,https://arxiv.org/pdf/2112.13819v1,开放正文，重点闭环 RRT、介质转换区与仿真,分域规划加转换区约束，先验证动作可执行再计算任务代价,HyDrone 的转换区参数、控制和模型不能原封不动移植 qn,,no
P18,跨介质实机,TJ-FlyingFish: Design and Implementation of an Aerial-Aquatic Quadrotor with Tiltable Propulsion Units,ICRA 2023,https://arxiv.org/abs/2301.12344v2,https://arxiv.org/pdf/2301.12344v2,开放正文，核对驱动、介质模式和控制设计,空气与水下控制分配、转换不是改 z 目标,机械构型/倾转推进与 qn 未必匹配，不能照抄控制分配,,no
P19,跨介质实机,Dipper: A Dynamically Transitioning Aerial-Aquatic Unmanned Vehicle,RSS 2021；DOI 10.15607/RSS.2021.XVII.048,https://www.roboticsproceedings.org/rss17/p048.html,https://www.roboticsproceedings.org/rss17/p048.pdf,官方摘要与元数据；大 PDF 本轮读取失败,跨介质动作必须单独验证；固定翼案例参考,未声称全文阅读；固定翼折翼不是 qn 四旋翼后端,,no
P20,跨介质海试,Nezha-IV: A Hybrid Aerial Underwater Vehicle in Real Ocean Environments,JFR 2024，41(2):420–442，online 2023；DOI 10.1002/rob.22274,https://onlinelibrary.wiley.com/doi/10.1002/rob.22274,,官方摘要/文献表；本轮未取得完整 PDF,同一平台空气、水下、过渡三个工作域的实测边界,参考海试设计而非继承具体海况和深度能力,,no
P21,跨介质控制,"WuKong: Design, Modeling and Control of a Compact Flexible Hybrid Aerial-Aquatic Vehicle",IEEE RA-L 2025，10(2):1417–1424；DOI 10.1109/LRA.2024.3521659,https://researchportal.hkust.edu.hk/en/publications/wukong-design-modeling-and-control-of-a-compact-flexible-hybrid-a/,,官方机构摘要/元数据；未取得全文,跨域混合控制与水下姿态控制对照,不是当前 qn 已有能力，也不是 Wukong-Omni 同一论文,,no
P22,跨介质统一控制,Adaptive Dynamic Surface Control for a Hybrid Aerial Underwater Vehicle With Parametric Dynamics and Uncertainties,IEEE JOE 2020，45(3):740–758；DOI 10.1109/JOE.2019.2903742,https://faculty.sjtu.edu.cn/zengzheng/en/lwcg/412166/content/57310.htm,https://doi.org/10.1109/JOE.2019.2903742,作者机构元数据及公开摘要级线索；本轮未取得全文,统一跨介质控制研究查新不可遗漏的近邻工作,不能在未阅读全文时引用具体定理；不声称其控制器适用于 qn,,no
P23,海况转换策略,Surfing Algorithm: Agile and Safe Transition Strategy for Hybrid Aerial Underwater Vehicle in Waves,IEEE T-RO 2023，39(6):4262–4278；DOI 10.1109/TRO.2023.3319928,https://doi.org/10.1109/TRO.2023.3319928,,题名/期刊/年份核对及公开摘要线索；全文未取得,波浪中的转换时机是可执行性问题而非零代价动作,本轮不据此给出具体算法或保证；需要作者/机构全文补读,,no
P24,跨介质实机,Aerial–aquatic robots capable of crossing the air–water boundary and hitchhiking on surfaces,Science Robotics 2022，7:eabm6695；DOI 10.1126/scirobotics.abm6695,https://spiral.imperial.ac.uk/entities/publication/97ee3cf3-a8b6-4416-affc-05d983a98a29,https://nubot-uaav.github.io/static/pdf/multirotor_based_aavs/scirobotics.abm6695%20(1).pdf,研究团队资料库 PDF 正文；未将图像读取失败处当图证据,跨域运动及附着方式的实机先例,特殊机构能力不赋给当前装备；下载副本的使用许可按来源遵守,,no
P25,跨介质文献导航,Transition Strategy for Unmanned Aerial-Aquatic Vehicles (UAAVs): A Survey,JFR 2026，43(3):2444–2476；DOI 10.1002/rob.70138,https://onlinelibrary.wiley.com/doi/10.1002/rob.70138,https://nubot-uaav.github.io/,官方摘要/参考文献与作者分类资料站；正文未取得,继续追踪跨介质原型、推进、入水出水策略的权威入口,作者站部分 BibTeX 年份与期刊上线时间不同；以期刊为准；综述不替代原论文,,no
P26,跨介质前沿补充,"Wukong-Omni: Design, Modeling and Control of a Multi-mode Robot for Air, Land, and Underwater Exploration with All-in-One Propulsion Unit",arXiv:2603.02602，2026 预印本,https://arxiv.org/abs/2603.02602v1,https://arxiv.org/pdf/2603.02602v1,开放正文浏览，列为前沿补充而非本轮控制选型,多模态平台设计与控制的后续查新,未核实正式发表；不当作已接入主链或工程必需,,no
P27,巡检评价,Cooperative Aerial Robot Inspection Challenge: A Benchmark for Heterogeneous Multi-UAV Planning and Lessons Learned,2025 benchmark 报告，arXiv:2501.06566；比赛/Workshop 不等于期刊发表,https://arxiv.org/abs/2501.06566v2,https://arxiv.org/pdf/2501.06566v2,开放正文，核对观测、去重、接收与评分,保留观测与接收分离；用现有几何代理做任务层验证,不重新加入被撤销的任意曝光/模糊/像素分辨率参数,,no
P28,USV 中继实证,"Xiroi II, an Evolved ASV Platform for Marine Multirobot Operations",Sensors 2023，23(1):109；DOI 10.3390/s23010109,https://www.mdpi.com/1424-8220/23/1/109,https://pmc.ncbi.nlm.nih.gov/articles/PMC9824324/,既有库登记全文；本轮新直取受网站访问限制，未新增本地 PDF,USV/ASV 在 AUV 与地面端之间转接并移动支援,不是顶刊；硬件/有效带宽必须由本项目配置或标定，不直接套用,,no
P29,海洋异构任务,Collaboration of Heterogeneous Marine Robots Toward Multidomain Sensing and Situational Awareness on Partially Submerged Targets,IEEE JOE 2022；DOI 10.1109/JOE.2022.3156631,https://doi.org/10.1109/JOE.2022.3156631,,既有库摘要级；本轮未取得全文,跨域互补观测与水面支援的任务组织,不得将摘要级推断写成作者完整实现细节,,no
P30,海洋系统示例,The SeaClear system: An intelligent multi-robot solution for autonomous cleanup of marine debris on the seabed,Engineering Applications of Artificial Intelligence 2026；DOI 10.1016/j.engappai.2026.114094,https://research.tudelft.nl/en/publications/the-seaclear-system-an-intelligent-multi-robot-solution-for-auton/,https://doi.org/10.1016/j.engappai.2026.114094,官方期刊/机构记录；提供开放版本入口，未完成正文精读,复杂海洋协作任务分工与系统集成参考,不能把缆控、供电和操纵机构假设改名后当作自主水声系统,,no
P31,海洋仿真,Stonefish: Supporting Machine Learning Research in Marine Robotics,ICRA 2025；arXiv:2502.11887,https://arxiv.org/abs/2502.11887v2,https://arxiv.org/pdf/2502.11887v2,开放正文相关仿真功能与架构章节,需要海洋传感器/更高保真环境时的后端候选,当前先采用轻量数值后端；不能和 qn 同时推进同一个 AAV,https://github.com/patrykcieslak/stonefish,no
T01,海洋模型与GNC,Python Vehicle Simulator / Fossen Marine Craft Model,官方模型软件；理论依据 Fossen 2021 专著，不是新顶会论文,https://www.fossen.biz/html/marineCraftModel.html,https://github.com/cybergalactic/PythonVehicleSimulator,官方模型说明、README 与 otter 控制/动力学接口代码,优先复用 USV/UUV 数值动力学和原生 GNC，薄 ROS 接口接入,Otter/REMUS 是参考艇型不是用户装备；REMUS 型不能假定原地悬停；坐标与模式要转换,https://github.com/cybergalactic/PythonVehicleSimulator,no
P32,混合系统理论,Stability of Switched Systems with Average Dwell-Time,CDC 1999；Hespanha & Morse,https://web.ece.ucsb.edu/~hespanha/published/,https://www.ece.ucsb.edu/~hespanha/published/avedwell.pdf,作者全文 PDF，核对驻留时间与 Lyapunov 切换条件,统一分析不同模式控制律，而不是强行一个控制器控制所有平台,各模式稳定不推出任意切换稳定；过渡模式不满足条件时不得套用定理,,no
